name,url,rating,number_of_ratings,price,asin
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-20,3.8 out of 5 stars,261,699,B0BPVLXD53
ADISA Light Weight Laptop Backpack 32 Ltrs,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-21,4.0 out of 5 stars,6012,499,B07F3X45WZ
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-22,4.2 out of 5 stars,502,1399,B0BTD4FK9G
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-23,3.8 out of 5 stars,2964,799,B09B26VHXV
Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-24,3.8 out of 5 stars,570,699,B0BLVQ9NTD
"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-25,3.9 out of 5 stars,9024,549,B081GSQ9D9
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-26,4.1 out of 5 stars,9451,398,B088XB5XY8
F Gear Luxur Brown 25 liter Laptop Backpack (2404),https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-29,4.4 out of 5 stars,16957,1162,B01F7AX9ZA
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-30,3.9 out of 5 stars,968,899,B09B25Z8M2
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-31,4.0 out of 5 stars,709,899,B09B28TKLG
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-32,4.0 out of 5 stars,13793,839,B078GLXMDY
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-33,3.7 out of 5 stars,926,843,B08WQ668WJ
American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-BAG02/dp/B07CGLDV2C/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-34,4.2 out of 5 stars,4049,1249,B07CGLDV2C
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-35,3.9 out of 5 stars,7654,549,B088B4P6ZW
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1690028087&sr=8-36,4.4 out of 5 stars,2162,1599,B084LF4RT5
